date;nbr_users_logged;total_memory;memory_available;task_total;task_running;task_zombie;task_stopped;task_sleeping;disk_capacity_used;cpu_usage;computer_duration
2017-05-20-21:58:18;0;1253632;753820;9;1;0;0;8;6;0.0;8:26
2017-05-20-21:58:18;0;1253632;753820;9;1;0;0;8;6;0.0;8:26
2017-05-20-21:58:18;0;1253632;753820;9;1;0;0;8;6;0.0;8:26
2017-05-20-21:58:18;0;1253632;753820;9;1;0;0;8;6;0.0;8:26
2017-05-20-21:58:18;0;1253632;753820;9;1;0;0;8;6;0.0;8:26
2017-05-20-21:58:18;0;1253632;753820;9;1;0;0;8;6;0.0;8:26
2017-05-20-21:58:18;0;1253632;753820;9;1;0;0;8;6;0.0;8:26
2017-05-20-21:58:18;0;1253632;753820;9;1;0;0;8;6;0.0;8:26
2017-05-20-21:58:18;0;1253632;753820;9;1;0;0;8;6;0.0;8:26
2017-05-20-21:58:18;0;1253632;753820;9;1;0;0;8;6;0.0;8:26
2017-05-20-21:58:18;0;1253632;753820;9;1;0;0;8;6;0.0;8:26
2017-05-20-21:58:18;0;1253632;753820;9;1;0;0;8;6;0.0;8:26
